Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alyssa Thomas,32,40,40,1297,166,326,0.509,0,4,0,166,322,0.516,91,145,0.628,98,239,337,317,62,18,145,84,423
2,DeWanna Bonner,36,40,39,1271,212,512,0.414,58,197,0.294,154,315,0.489,119,143,0.832,22,216,238,80,47,27,56,70,601
3,DiJonai Carrington,26,39,39,1156,173,429,0.403,26,104,0.25,147,325,0.452,124,157,0.79,53,143,196,61,61,17,74,100,496
4,Tyasha Harris,26,39,38,1125,145,341,0.425,60,152,0.395,85,189,0.45,59,77,0.766,10,59,69,119,40,13,54,66,409
5,Brionna Jones,28,40,40,1087,220,408,0.539,2,14,0.143,218,394,0.553,107,145,0.738,86,135,221,60,46,23,51,106,549
6,Marina Mabrey,27,16,3,439,91,195,0.467,42,99,0.424,49,96,0.51,15,22,0.682,5,51,56,53,16,10,27,40,239
7,Olivia Nelson-Ododa,23,37,0,436,49,99,0.495,0,0,,49,99,0.495,27,41,0.659,30,63,93,8,14,21,29,63,125
8,Veronica Burton,23,31,1,392,26,72,0.361,13,37,0.351,13,35,0.371,31,37,0.838,13,31,44,58,14,7,15,32,96
9,Tiffany Mitchell,29,24,0,391,38,109,0.349,6,24,0.25,32,85,0.376,36,46,0.783,11,26,37,19,11,1,15,29,118
10,Rachel Banham,30,21,0,270,34,95,0.358,23,66,0.348,11,29,0.379,9,10,0.9,3,22,25,14,8,5,11,31,100
11,Astou Ndour-Fall,29,22,0,92,9,26,0.346,2,10,0.2,7,16,0.438,5,6,0.833,2,16,18,1,1,4,3,10,25
12,Moriah Jefferson,30,9,0,61,6,16,0.375,3,9,0.333,3,7,0.429,4,4,1,0,2,2,6,6,0,2,8,19
13,Caitlin Bickle,24,8,0,15,0,3,0,0,3,0,0,0,,0,0,,0,0,0,0,0,0,0,1,0
14,Celeste Taylor,23,2,0,11,1,1,1,0,0,,1,1,1,0,0,,0,0,0,0,0,0,0,4,2
15,Queen Egbo,24,3,0,7,0,5,0,0,0,,0,5,0,2,2,1,1,1,2,0,0,0,0,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,
