Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kayla McBride,32,39,39,1237,174,414,0.42,105,258,0.407,69,156,0.442,133,149,0.893,14,86,100,126,49,2,79,48,586
2,Napheesa Collier,27,34,34,1180,268,545,0.492,31,100,0.31,237,445,0.533,127,158,0.804,76,254,330,115,65,48,70,87,694
3,Bridget Carleton,27,39,36,1166,126,284,0.444,91,205,0.444,35,79,0.443,30,38,0.789,37,110,147,87,39,12,40,80,373
4,Courtney Williams,30,40,40,1061,194,438,0.443,23,69,0.333,171,369,0.463,34,42,0.81,14,172,186,221,36,16,98,77,445
5,Alanna Smith,27,39,39,1035,147,312,0.471,47,118,0.398,100,194,0.515,54,72,0.75,61,158,219,124,53,57,76,119,395
6,Natisha Hiedeman,27,40,0,607,73,192,0.38,23,82,0.28,50,110,0.455,25,34,0.735,15,47,62,95,32,6,44,49,194
7,Dorka Juhász,24,34,7,548,69,144,0.479,11,34,0.324,58,110,0.527,13,20,0.65,32,97,129,36,15,13,21,39,162
8,Cecilia Zandalasini,28,40,0,486,67,148,0.453,31,70,0.443,36,78,0.462,18,29,0.621,5,41,46,43,15,9,31,55,183
9,Myisha Hines-Allen,29,13,1,230,34,68,0.5,4,11,0.364,30,57,0.526,26,31,0.839,15,40,55,29,11,2,17,30,98
10,Diamond Miller,23,21,4,213,21,69,0.304,5,26,0.192,16,43,0.372,14,24,0.583,9,28,37,13,7,1,19,23,61
11,Alissa Pili,23,22,0,138,19,45,0.422,9,27,0.333,10,18,0.556,6,11,0.545,6,21,27,5,5,2,19,29,53
12,Olivia Époupa,30,17,0,114,6,16,0.375,0,0,,6,16,0.375,2,2,1,6,13,19,26,14,0,15,13,14
13,Sika Koné,21,17,0,57,7,17,0.412,0,0,,7,17,0.412,7,9,0.778,7,5,12,1,2,0,5,5,21
14,Taylor Soule,24,2,0,3,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
